Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL
Say Nothing(2024),2024,"Crime, Drama, History, Mystery & Thriller",8.4,43min,No Rating,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/say-nothing
Yellowstone(2018),2018,"Western, Drama",8.7,50min,No Rating,United States,['Netflix'],https://www.justwatch.com/in/tv-show/yellowstone
Game of Thrones(2011),2011,"Action & Adventure, Science-Fiction, Drama, Fantasy",9.2,58min,U,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/game-of-thrones
Silo(2023),2023,"Science-Fiction, Drama",8.1,49min,A,United States,"['Apple TV Plus', 'Apple TV+']",https://www.justwatch.com/in/tv-show/silo
Bigg Boss(2006),2006,"Reality TV, Kids & Family",3.6,1h 16min,No Rating,India,['Tata Play'],https://www.justwatch.com/in/tv-show/bigg-boss
Cruel Intentions(2024),2024,Drama,5.3,42min,No Rating,"Italy, United States",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/cruel-intentions
XXX: Uncensored(2018),2018,"Comedy, Drama, Romance",4.8,22min,No Rating,India,['Alt Balaji'],https://www.justwatch.com/in/tv-show/x-x-x-uncensored
Mastram(2020),2020,"Comedy, Drama, Fantasy",6.9,28min,No Rating,India,['VI movies and tv'],https://www.justwatch.com/in/tv-show/mastram
Scam 1992: The Harshad Mehta Story(2020),2020,"Crime, Drama, Mystery & Thriller",9.2,52min,No Rating,India,"['VI movies and tv', 'Sony Liv']",https://www.justwatch.com/in/tv-show/scam-1992
Dan Da Dan(2024),2024,"Animation, Action & Adventure, Comedy, Science-Fiction, Fantasy, Romance, Mystery & Thriller",8.7,24min,No Rating,Japan,"['Crunchyroll Amazon Channel', 'Netflix', 'Anime Times Amazon Channel', 'Amazon Prime Video']",https://www.justwatch.com/in/tv-show/dan-da-dan
Panchayat(2020),2020,"Drama, Comedy",9.0,35min,No Rating,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/panchayat
Campus Beats(2023),2023,Drama,6.9,29min,No Rating,India,['MX Player'],https://www.justwatch.com/in/tv-show/campus-beats
Tulsa King(2022),2022,"Drama, Crime",8.0,40min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/tulsa-king
