Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL
The Beast(2024),2024,"Mystery & Thriller, Drama, Romance, Science-Fiction",6.5,2h 26min,No Rating,"France, Canada","['Jio Cinema', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/la-bete
Conclave(2024),2024,"Drama, Mystery & Thriller",7.4,2h 0min,No Rating,"United States, United Kingdom",['No streaming service found'],https://www.justwatch.com/in/movie/conclave
Smile(2022),2022,"Mystery & Thriller, Horror",6.5,1h 55min,A,United States,"['Apple TV', 'Amazon Video']",https://www.justwatch.com/in/movie/smile-2022-0
Vivekanandan Viralaanu(2024),2024,"Comedy, Drama",4.1,2h 1min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/vivekanandan-viralaanu
Knock Knock(2015),2015,"Horror, Mystery & Thriller, Crime",4.9,1h 39min,A,"Germany, United States, Chile","['MX Player', 'Vrott Amazon Channel']",https://www.justwatch.com/in/movie/knock-knock-2015
Aavesham(2024),2024,"Action & Adventure, Comedy",7.8,2h 38min,No Rating,India,"['Amazon Video', 'Hotstar', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/aavesham-2024
Nandhan(2024),2024,Drama,7.5,1h 50min,UA,India,"['aha', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/nandhan
Despatch(2024),2024,"Mystery & Thriller, Drama",8.0,2h 33min,U,India,['Zee5'],https://www.justwatch.com/in/movie/despatch
The Fall Guy(2024),2024,"Romance, Action & Adventure, Comedy, Drama",6.9,2h 6min,UA,"Australia, Canada, United States","['Apple TV', 'Amazon Video', 'Jio Cinema', 'Zee5']",https://www.justwatch.com/in/movie/the-fall-guy
Woman of the Hour(2024),2024,"Crime, Drama, Mystery & Thriller",6.6,1h 35min,No Rating,United States,"['Lionsgate Play Amazon Channel', 'Lionsgate Play', 'Lionsgate Play Apple TV Channel']",https://www.justwatch.com/in/movie/woman-of-the-hour
October(2018),2018,"Drama, Romance, Horror",7.6,1h 49min,U,India,"['Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/october
Lucky Baskhar(2024),2024,"Mystery & Thriller, Crime, Drama",8.2,2h 50min,UA,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/lucky-baskhar
Bhool Bhulaiyaa 3(2024),2024,"Comedy, Horror",5.1,2h 38min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/bhool-bhulaiyaa-3
Devara Part 1(2024),2024,"Mystery & Thriller, Action & Adventure, Drama",6.1,2h 56min,UA,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/ntr-30
Deadpool & Wolverine(2024),2024,"Science-Fiction, Comedy, Action & Adventure",7.7,2h 8min,A,United States,"['Apple TV', 'Amazon Video', 'Hotstar']",https://www.justwatch.com/in/movie/deadpool-3
Stree 2: Sarkate Ka Aatank(2024),2024,"Comedy, Horror",7.0,2h 27min,UA,India,"['Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/stree-2
Dancing Village: The Curse Begins(2024),2024,"Mystery & Thriller, Horror",5.7,2h 2min,No Rating,Indonesia,['Amazon Video'],https://www.justwatch.com/in/movie/kkn-di-desa-penari-2-badarawuhi
Cottontail(2024),2024,"Romance, Drama",6.4,1h 34min,No Rating,"Japan, United Kingdom",['Amazon Video'],https://www.justwatch.com/in/movie/cottontail
The Crow(2024),2024,"Horror, Romance, Mystery & Thriller, Action & Adventure, Crime, Fantasy",4.7,1h 51min,No Rating,"United States, United Kingdom, France, Czech Republic",['Amazon Video'],https://www.justwatch.com/in/movie/the-crow-2024
Nature of the Crime(2024),2024,Documentary,Not Found,1h 29min,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/movie/nature-of-the-crime
Jamie Foxx: What Had Happened Was...(2024),2024,"Comedy, Documentary",Not Found,1h 8min,No Rating,United States,['Netflix'],https://www.justwatch.com/in/movie/jamie-foxx-what-had-happened-was
